State,Town,Title,K1876,List_K1876,K1882,List_K1882,K1890,List_K1890,C1875,List_C1875,C1890,List_C1890,W1885,List_W1885,W1894,List_W1894,N1890,List_N1890,S1894,List_S1894,A1878,List_A1878,A1882,List_A1882,A1883,List_A1883,A1889,List_A1889,X1870,X1880,X1890,X1900,Latitude,Longitude,LCCN,Start,End,ChronAm
Illinois,Henry,Republican.,1,Kellogg,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2162,1728,1512,1637,41.11305556,-89.36027778,NA,NA,NA,0
Illinois,Hillsboro,Blade.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1803,0,1937,39.165,-89.48444444,NA,NA,NA,0
Illinois,Jerseyville,Democrat.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,1,St. Louis,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2576,2894,3207,3517,39.12083333,-90.3275,NA,NA,NA,0
Illinois,Jerseyville,Republican.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2576,2894,3207,3517,39.12083333,-90.3275,NA,NA,NA,0
Illinois,Joliet,Courier.,1,Kellogg,0,NA,0,NA,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7263,11657,23264,29353,41.52055556,-88.15055556,NA,NA,NA,0
Illinois,Junction,News.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,37.72277778,-88.23805556,NA,NA,NA,0
Illinois,Junction,News.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,38.57972222,-89.1275,NA,NA,NA,0
Illinois,Kansas,News.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,723,1037,1049,39.55277778,-87.93944444,NA,NA,NA,0
Illinois,Kewanee,Independent.,1,Kellogg,1,Chicago,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2704,4569,8382,41.23333333,-89.93333333,NA,NA,NA,0
Illinois,La Harpe,La Harper.,1,Kellogg,0,NA,0,NA,0,NA,1,Standard,0,NA,0,NA,0,NA,0,NA,0,NA,1,Chicago Union,0,NA,0,NA,0,958,1113,1591,40.58305556,-90.96888889,NA,NA,NA,0
Illinois,Lasalle,Press.,1,Kellogg,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5200,7847,9855,10446,41.34111111,-89.09083333,NA,NA,NA,0
Illinois,Lawrence,Rural Republican.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Illinois,Le Roy,Enterprise.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,862,1068,1258,1629,40.34722222,-88.76222222,NA,NA,NA,0
Illinois,Lena,Star.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Chicago Union,0,NA,0,NA,1294,1520,1270,1252,42.37861111,-89.82638889,NA,NA,NA,0
Illinois,Lena,Star.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Seely,0,NA,0,NA,1294,1520,1270,1252,42.37861111,-89.82638889,NA,NA,NA,0
Illinois,Lewistown,Fulton Democrat.,1,Kellogg,0,NA,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1771,2166,2504,40.39638889,-90.15472222,NA,NA,NA,0
Illinois,Litchfield,Democrat.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3852,4326,5811,5918,39.17666667,-89.65361111,NA,NA,NA,0
Illinois,Litchfield,Union Monitor.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3852,4326,5811,5918,39.17666667,-89.65361111,NA,NA,NA,0
Illinois,Louisville,Ledger-Democrat.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,529,514,637,646,38.77138889,-88.50638889,NA,NA,NA,0
Illinois,Magnolia,News.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,305,287,264,41.11277778,-89.19527778,NA,NA,NA,0
Illinois,Marshall,Herald.,1,Kellogg,0,NA,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1885,1900,2077,39.39277778,-87.69361111,NA,NA,NA,0
Illinois,Martinsville,Express.,1,Kellogg,0,NA,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,663,779,1000,39.33833333,-87.88194444,NA,NA,NA,0
Illinois,Mattoon,Journal.,1,Kellogg,0,NA,0,NA,1,Chicago,1,Standard,0,NA,0,NA,0,NA,0,NA,0,NA,1,Chicago Union,0,NA,0,NA,0,5737,6833,9622,39.47888889,-88.37305556,NA,NA,NA,0
Illinois,Mattoon,Journal.,1,Kellogg,0,NA,0,NA,1,Chicago,1,Standard,0,NA,0,NA,0,NA,0,NA,0,NA,1,Milwaukee,0,NA,0,NA,0,5737,6833,9622,39.47888889,-88.37305556,NA,NA,NA,0
Illinois,Mattoon,Journal.,1,Kellogg,0,NA,0,NA,1,Chicago,1,Standard,0,NA,0,NA,0,NA,0,NA,0,NA,1,Seely,0,NA,0,NA,0,5737,6833,9622,39.47888889,-88.37305556,NA,NA,NA,0
Illinois,Mcleansboro,Golden Era.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,683,1341,1355,1758,38.09305556,-88.53611111,NA,NA,NA,0
Illinois,Mcleansboro,Times.,1,Kellogg,1,St. Louis,1,St. Louis,0,NA,0,NA,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,683,1341,1355,1758,38.09305556,-88.53611111,NA,NA,NA,0
Illinois,Metamora,Woodford Sentinel.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,762,828,758,758,40.78333333,-89.36666667,NA,NA,NA,0
Illinois,Milton,Beacon.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,354,457,415,420,39.56416667,-90.64888889,NA,NA,NA,0
