Population,Town,State,Latitude,Longitude,Retailer,General,News,Educational,Juvenile,DepartmentStore,DrugStore,GiftStore,CirculatingLibrary,SecondHand,OldandRare,Medical,Law,Religious,Foreign,Wholesale,Music,X
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"White, Llewellyn, 91 Van Houten St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
41707,Perth Amboy,NEW JERSEY,40.5067723,-74.2654234,"Fishkin Bros., 157 Smith St.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
41707,Perth Amboy,NEW JERSEY,40.5067723,-74.2654234,"Neer, Frank, Neer's Stat'y Store, 90 Smith St.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
41707,Perth Amboy,NEW JERSEY,40.5067723,-74.2654234,Ompoge Book Shop,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,s
41707,Perth Amboy,NEW JERSEY,40.5067723,-74.2654234,"Reynolds Bros., 136 Smith St.",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d
41707,Perth Amboy,NEW JERSEY,40.5067723,-74.2654234,"Schlesinger, Philip, 283 Madison Ave.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
41707,Perth Amboy,NEW JERSEY,40.5067723,-74.2654234,"Woglom, Frank, 197 Smith St.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
16923,Phillipsburg,NEW JERSEY,40.6937099,-75.1901761,"Fisk, W. H., 437 S. Main St.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
16923,Phillipsburg,NEW JERSEY,40.6937099,-75.1901761,"Yeisley, G. L., 137 S. Main St. G N",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gn
27700,Plainfield,NEW JERSEY,40.6337136,-74.4073736,"Estel Book Shop, 205 Park Ave. G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
27700,Plainfield,NEW JERSEY,40.6337136,-74.4073736,"Suffern, Mrs. Dorothy M., The Plainfield Book Shop, 321 Park Ave. GCJ",1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,gcj
27700,Plainfield,NEW JERSEY,40.6337136,-74.4073736,"Tipper Bros., 113 W. Front St. DGi",NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,dh
27700,Plainfield,NEW JERSEY,40.6337136,-74.4073736,"Woodhull & Martin Co., 163 E. Front St. D",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d
1200,Pompton Lakes,NEW JERSEY,41.0053753,-74.2907041,"The Biblio Co., Wanaque Ave. Genealogy O",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,o
5136,Princeton,NEW JERSEY,40.3572976,-74.6672226,"The Brick Row Book Shop (John T. Wainwright, Mgr.), 68% Nassau St. SOE",NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,soe
5136,Princeton,NEW JERSEY,40.3572976,-74.6672226,Princeton Univ. Store G,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
9337,Rahway,NEW JERSEY,40.6081591,-74.2776468,"Conill, S. A., 90 Lambert St., and 61 Irving St. GGiSC",1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,ghsc
9251,Red Bank,NEW JERSEY,40.3470543,-74.0643065,"Salz, A., & Co. (Miss Predmore) D",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d
9251,Red Bank,NEW JERSEY,40.3470543,-74.0643065,"Tetley, J. T., & Son N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
85700,Ridgefield Park,NEW JERSEY,40.8570442,-74.0215285,"Breslaw & Brown, Main St. G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
85700,Ridgefield Park,NEW JERSEY,40.8570442,-74.0215285,"Owens, Mrs., Main St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
85700,Ridgefield Park,NEW JERSEY,40.8570442,-74.0215285,"Wold, Main St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
1332,Riverton,NEW JERSEY,40.0115009,-75.0148931,"Miss Wolcott's Gift Shop, 601 Elm Terrace Gi",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,h
9497,Rutherford,NEW JERSEY,40.826489,-74.1068091,"Lee, George S., Jr., 38 Donaldson Ave. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
9497,Rutherford,NEW JERSEY,40.826489,-74.1068091,"Waller, W. E. (R. W. Myers) D",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d
6614,Salem,NEW JERSEY,39.5717796,-75.4671423,"Robinson, Albert E. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
350,Short Hills,NEW JERSEY,40.7483499,-74.3232194,"The Studio Book Room, Highland Ave. GOCJ",1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,gocj
5060,Somerville,NEW JERSEY,40.5742696,-74.60988,"Robinson-Rosenthal Co., 61 W. Main St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
6014,South Orange,NEW JERSEY,40.7489277,-74.2609903,"Bodkin, Mrs. G. R., Mayfair Gift Shop, 91 Baker St. Gi",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,h
NA,Spring Lake Beach,NEW JERSEY,40.1500021,-74.022117,"Ackerman, Lucy H., Private Gift Shop, 632 Pitney Ave.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7500,Summit,NEW JERSEY,40.7146376,-74.3646122,"The Eastman Bookshop, 397 Springfield Ave. GGiC",1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,ghc
7500,Summit,NEW JERSEY,40.7146376,-74.3646122,"Fish, Herbert S., 424 Springfield Ave. G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
7500,Summit,NEW JERSEY,40.7146376,-74.3646122,"Green, William Tyler Dr",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,u
7500,Summit,NEW JERSEY,40.7146376,-74.3646122,"Rogers Pharmacy, 365 Springfield Ave. Dr",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,u
119289,Trenton,NEW JERSEY,40.2205824,-74.759717,"Dunham, S. P., & Co. (Mrs. Schultz), State & Broad Sts. D",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d
119289,Trenton,NEW JERSEY,40.2205824,-74.759717,"Hoenig Swern & Co., 115 S. Broad St. E.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e
119289,Trenton,NEW JERSEY,40.2205824,-74.759717,"The Little Shop (Miss May Stelle), 36 W. State St. Gi",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,h
119289,Trenton,NEW JERSEY,40.2205824,-74.759717,"Traver's Book Store, C. L. Traver, 108 S. Broad St. GSOCJ",1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,gsocj
2500,Verona,NEW JERSEY,40.8298006,-74.2401609,"Fowler & Wells Co. (M. H. Percy), 17 Durrell St. (Phrenology)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5282,Vineland,NEW JERSEY,39.4863773,-75.0259637,"Ellis, Albert S. GJN",1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gjn
5282,Vineland,NEW JERSEY,39.4863773,-75.0259637,"Kulp, Howard, 594 Landis St. G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
8000,Westfield,NEW JERSEY,40.6589912,-74.3473717,"Book Shop, 144 E. Broad St.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8000,Westfield,NEW JERSEY,40.6589912,-74.3473717,"Smith, Mrs. Mary Darby, “The Bookshop,” I22 Elm St. G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
8000,Westfield,NEW JERSEY,40.6589912,-74.3473717,"Wenz, A., 27 Elm St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
8000,Westfield,NEW JERSEY,40.6589912,-74.3473717,"Wittke, Edward, 90 Elm St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
