Title,City,State,Start,End,Language,Category
Anglo-American Magazine,Boston,MA,2/1/1843,7/1/1843,English,British periodicals--Selections.
"Anglo-American Magazine, The",Toronto,Ontario,7/1/1852,12/1/1852,English,Literary periodicals.
"Anglo-American, The",New York,NY,4/29/1843,7/10/1847,English,England --Periodicals.
Annales de la Propagation de la Foi Pour la Province de Que?bec,Montreal,Quebec,7/1/1841,1/1/1852,French,Mission periodicals.Religious periodicals.
"Annals of Science, The",Cleveland,OH,10/15/1852,12/15/1852,English,Science--Periodicals.Technology--Periodicals.
Annals of the Missouri Historical and Philosophical Society,Jefferson City,MI,1/1/1848,1/1/1848,English,Local history periodicals.
Anniversary Gazette,Boston,MA,5/1/1847,5/1/1847,English,Prisons--Missions and charities--Massachusetts-Boston--Periodicals. Church work with prisoners--Massachusetts--Boston--Periodicals. Church work with criminals--Massachusetts--Boston--Periodicals.
"Annual Meeting of the New-York City Maternal Association, February 28, 1838",New York,NY,2/28/1838,2/28/1838,English,Motherhood.Parenting.
"Anti-Annihilationist, The",Philadelphia,PA,4/15/1844,4/15/1844,English,Annihilationism--Periodicals.
"Anti-Bank Democrat, The",Poughkeepsie,NY,1/1/1842,7/1/1843,English,Banks and banking--United States.
Anti-Draco,New York,NY,3/1/1844,3/1/1844,English,Capital punishment--Periodicals.
"Anti-Mercurial, The",New York,NY,11/1/1852,12/15/1852,English,"Medicine, Eclectic--Periodicals."
"Anti-Millerite and Scriptural Expositor, The",Concord,NH,2/15/1843,8/1/1843,English,Millerite movement--Controversial literature--Periodicals.
"Antiquarian and General Review, The",Schenectady,NY,11/1/1845,11/1/1845,English,History--Periodicals.
"Anti-Slavery Advocate, The",Dublin,Ireland,10/1/1852,12/1/1852,English,Antislavery periodicals.
"Appendix to Kinne's Law Compendium: Questions and Answers on Law Alphabetically Arranged, With Reference to the Most Approved Authorities",New York,NY,10/1/1842,10/1/1842,English,Lawyer's periodicals.
Appleton's Literary Bulletin,New York,NY,6/1/1843,1/1/1847,English,Literature--Bibliography.
Appleton's Mechanics' Magazine and Engineers' Journal,New York,NY,1/1/1851,12/1/1852,English,Technology--Periodicals.
Archaeologia Americana: Transactions and Collections of the American Antiquarian Society,Worcester,MA,1/1/1850,1/1/1850,English,United States --Antiquities; United States --History.
Arcturus,New York,NY,1/1/1841,3/1/1842,English,Literary periodicals.
"Ark, and Odd Fellows' Monthly Magazine: A Monthly Periodical, Devoted to the Cause of Odd Fellowship, The",Columbus,OH,1/1/1852,12/1/1852,English,Fraternal organization periodicals.
"Ark, and Odd Fellows' Monthly Magazine: A Monthly Periodical, Devoted to the Cause of Odd Fellowship, The",Columbus,OH,1/1/1844,7/1/1851,English,Friendly society--periodicals.
Army and Navy Chronicle,Washington D.C.,USA,1/4/1838,5/16/1842,English,Military periodicals.Maritime periodicals.
Army and Navy Chronicle and Scientific Repository,Washington D.C.,USA,3/7/1844,3/7/1844,English,Military periodicals.Maritime periodicals.
"Art of Living, The",Lowell,MA,5/1/1851,5/1/1851,English,"Common sense--Periodicals. Philosophy of nature--Periodicals. Nature, Healing power of--Periodicals."
Arthur's Home Magazine,Philadelphia,PA,12/1/1852,12/1/1852,English,Women in the printing and publishing trades.
Arthur's Magazine,Philadelphia,PA,12/1/1844,2/1/1845,English,Women's periodicals.
Arthur's Magazine of Elegant Literature and Art,Philadelphia,PA,1/1/1846,4/1/1846,English,Literary periodicals.
"Artist, The",New York,NY,9/1/1842,5/1/1843,English,Literary periodicals.
Artists Journal,Cincinnati,OH,6/1/1852,6/1/1852,English,Art periodicals
"Assistant of the Ministry at Large, The",Portland,ME,3/15/1850,12/15/1852,English,Religious periodicals.
Associate Presbyterian Magazine,Philadelphia,PA,1/1/1841,12/1/1841,English,Religious periodicals.
"Asteroid, The",Salem,MA,8/1/1848,7/1/1849,English,Children's periodicals.Juvenile literature--Periodicals.
"Astronomical Journal, The",Cambridge,MA,11/2/1849,11/20/1852,English,Astronomy--Periodicals.
"Asylum Gazette, The",Concord,NH,1/20/1846,7/20/1846,English,Literary periodical. Newsletter.
Asylum Journal,Brattleboro,VT,11/22/1842,11/1/1846,English,Handicapped persons' periodicals.
Augusta Washingtonian,Augusta,GA,12/30/1843,3/9/1844,English,Temperance periodicals.Agricultural periodicals.
"Aurora Borealis: A Weekly Magazine of Humorous and Entertaining Sketches, Travels, Narratives, Tales, &C",Boston,MA,2/24/1849,6/2/1849,English,Literary periodicals.
"Awl, The",Lynn,MA,9/18/1844,10/11/1845,English,Industry periodicals.Fraternal organization periodicals.
"Bachelor, The",Athens,GA,2/16/1841,2/16/1841,English,Bachelorseorgia--Athens--Periodicals.
"Balance, The",Chillicothe,OH,4/1/1841,5/11/1841,English,Religious periodicals.
"Balm of Gilead and Practical Universalist, The",Concord,NH,7/16/1842,11/30/1844,English,Universalism--Periodicals.
"Balm of Gilead, The",Concord,NH,1/4/1845,8/9/1845,English,Universalism--Periodicals.
"Baltimore Literary and Religious Magazine, The",Baltimore,MD,1/1/1838,11/1/1841,English,Theology--Periodicals.
Baltimore Monument,Baltimore,MD,10/1/1838,10/1/1839,English,Literary periodicals.
"Baltimore Ph?nix & Budget, The",Baltimore,MD,4/1/1841,3/1/1842,English,Story periodicals.
"Bank Reformer, The",Petersburg,VA,9/4/1841,9/4/1841,English,Banks and banking--Periodicals.Banks and banking--United States.
"Bankers Magazine and State Financial Register, The",Baltimore,MD,7/1/1847,6/1/1849,English,Banks and banking--Periodicals.Banks and banking--United States.
"Bankers Magazine and Statistical Register, The",Boston,MA,7/1/1849,12/1/1852,English,Banks and banking--Periodicals.Banks and banking--United States.
Banner of Liberty,Richmond,VA,7/4/1842,7/4/1842,English,Fair and exhibition periodicals. Women's periodicals.
"Banner of the Cross, The",Philadelphia,PA,1/5/1839,12/24/1847,English,Religious periodicals.
"Banner of the Union: A Domestic Journal of Odd-Fellowship, Literature, Philosophy, Morals, and the Mechanic Arts",Philadelphia,PA,11/13/1852,11/13/1852,English,Fraternal organization periodicals.
Baptist Anti-Slavery Correspondent,Worcester,MA,2/1/1841,2/1/1841,English,Slavery and the church--Baptists--Periodicals.
Baptist Helmet,Vandalia,IL,7/9/1845,7/9/1845,English,Religious periodicals.
"Baptist Library, The",Prattsville,NY,12/20/1841,5/8/1843,English,Baptists--Periodicals.
"Baptist Magazine, The",London,England,1/1/1840,12/1/1842,English,Baptists--Periodicals.
Baptist Memorial and Christian Keepsake,New York,NY,12/1/1852,12/1/1852,English,Baptists--Periodicals.
"Baptist Memorial and Family Book, The",New York,NY,1/1/1852,5/1/1852,English,Baptists--Periodicals.
"Baptist Memorial and Monthly Chronicle, The",New York,NY,1/1/1842,1/1/1846,English,Baptists--Periodicals.
"Baptist Memorial and Monthly Record, The",New York,NY,1/1/1844,10/1/1851,English,Baptists--Periodicals.
"Baptist Missionary Magazine, The",Boston,MA,1/1/1838,12/1/1849,English,Baptists--Missions--Periodicals.
Baptist Observer,Concord,NH,7/23/1852,11/26/1852,English,Religious periodicals.
"Baptist Preacher, The",Philadelphia,PA,7/1/1847,7/1/1847,English,Religious periodicals.Sermons--Collections.
Baptist Record,Philadelphia,PA,8/28/1839,11/1/1851,English,Religious periodicals.
"Baptist, The",Nashville,TN,7/1/1838,1/1/1839,English,Baptists--Periodicals.
Barker's Canadian Monthly Magazine,Kingston,Ontario,5/1/1846,4/1/1847,English,Literary periodicals.
"Battle Axe, The",Pawtucket,RI,12/4/1851,1/7/1852,English,Temperance periodicals.
"Beach Bird, The",Ocean Hall,RI,7/28/1852,7/28/1852,English,Fairs--Rhode Island--Newport--Periodicals.
"Beacon Light, The",Boston,MA,11/21/1846,6/21/1847,English,Women's periodicals.Student periodicals.
"Beacon, The",New York,NY,1/26/1839,5/10/1845,English,Literary periodicals.
Bedford Street Budget,Boston,MA,1/1/1845,4/15/1846,English,Student periodicals.
Bentley's Miscellany,London,England,1/1/1838,1/1/1850,English,Literary periodicals.
Bentley's Miscellany,New York,NY,6/1/1838,12/1/1842,English,Literary periodicals.
Berean Guide,Essex,NY,1/12/1838,8/10/1838,English,Bible Study and teaching Periodicals.
"Berkshire Mutual Health Reporter: A Monthly Newspaper of Miscellaneous Reading, The",Pittsfield,MA,4/9/1851,10/1/1851,English,Literary Periodical
"Better Covenant, The",St. Charles,IL,1/2/1845,10/1/1846,English,Universalists--Periodicals.
Bible Advocate,Hartford,CT,6/24/1846,11/30/1848,English,Adventists--Periodicals.
"Bible Alliance or The Pen, the Pulpit, and the Press, The",Cincinnati,OH,2/1/1850,3/1/1850,English,Religious periodicals.
Bible Examiner,Albany,NY,8/16/1844,8/16/1845,English,Adventists--Periodicals.Theology--Periodicals.
"Bible Society Record of the Correspondence, Receipts, Etc. of the American Bible Society",New York,NY,11/1/1843,12/1/1852,English,Religious periodicals.
Bible Student,Troy,NY,7/1/1848,7/1/1848,English,Adventists--Periodicals.
Biblical Inquirer,New York,NY,4/1/1850,10/1/1850,English,Adventists--Periodicals.Theology--Periodicals.
"Biblical Journal, The",Boston,MA,1/1/1841,7/1/1842,English,Religious periodicals.
"Biblical Repository and Classical Review, The",New York,NY,1/1/1845,10/1/1850,English,Theology--Periodicals.
"Bibliotheca Sacra and American Biblical Repository, The",Andover,MA,1/1/1851,10/1/1852,English,Theology--Periodicals.
Bibliotheca Sacra and Theological Review,Andover,MA,2/1/1844,11/1/1845,English,Theology--Periodicals.
Bisbee's New Monthly and Littell's Spirit of the European Magazines and Annuals,New York,NY,3/1/1839,3/1/1839,English,Literary periodicals.
Blackwood's Edinburgh Magazine,New York,NY,1/1/1843,12/1/1843,English,Scottish Americans--Periodicals.
Blackwood's Edinburgh Magazine,New York,NY,1/1/1838,12/1/1852,English,Scottish Americans--Periodicals.
"Bombay Church Missionary Magazine, The",Bombay,India,3/1/1840,6/1/1840,English,Missions--Periodicals.
Bond of Brotherhood,London,England,1/1/1851,11/1/1852,English,Peace--Periodicals.
"Bond of Brotherhood, The",Worcester,MA,4/8/1846,6/10/1846,English,Pacifism--Periodicals.
"Book Trade: A Monthly Record of New Publications, The",New York,NY,6/1/1851,5/1/1852,English,Printing and publishing industries periodicals.
Boston Enterprise,Boston,MA,9/1/1847,9/1/1847,English,Advertising periodicals.
Boston Eoliad,Boston,MA,8/19/1840,2/17/1841,English,Music periodicals.
Boston Guide to Health and Journal of Arts and Sciences,Boston,MA,7/25/1843,4/15/1845,English,Medicine--Periodicals.
"Boston Medical and Surgical Journal, The",Boston,MA,1/3/1838,12/29/1852,English,Medicine--Periodicals.
"Boston Miscellany and Lady's' Monthly Magazine, The",Boston,MA,2/1/1843,2/1/1843,English,Women's periodicals.
Boston Miscellany of Literature and Fashion,Boston,MA,1/1/1842,2/1/1843,English,Fashion--Periodicals.
Boston Museum,Boston,MA,6/15/1850,6/5/1852,English,Literary periodicals.
Boston Musical Gazette,Boston,MA,5/2/1838,9/14/1838,English,Music--Periodicals.
Boston Musical Gazette,Boston,MA,6/1/1850,6/1/1850,English,Music--Periodicals.
Boston Musical Visitor,Boston,MA,8/8/1842,10/8/1844,English,Music--Periodicals.
Boston Notion,Boston,MA,1/1/1844,1/1/1844,English,Literature--Periodicals.
Boston Pilot,Boston,MA,1/27/1838,10/2/1852,English,Religious periodicals.
"Boston Quarterly Review, The",Boston,MA,1/1/1838,10/1/1842,English,Literary periodicals.
Boston Saturday Rambler,Boston,MA,1/13/1849,9/7/1850,English,Story papers (Periodicals)
"Boston Spectator, The",Boston,MA,4/1/1843,4/22/1843,English,Literature--Periodicals.
"Boston Spy, The",Boston,MA,2/5/1840,5/27/1840,English,Temperance periodicals.
Boston Teetotaller,Boston,MA,10/15/1842,10/15/1842,English,Temperance periodicals.
Boston Thomsonian Manual,Boston,MA,6/1/1842,10/1/1844,English,"Medicine, Botanic--Periodicals."
"Boston Thomsonian Medical and Physiological Journal, The",Boston,MA,1/1/1846,6/1/1846,English,"Medicine, Botanic--Periodicals."
"Boston Thomsonian Medical Journal, The",Boston,MA,10/1/1845,12/15/1845,English,"Medicine, Botanic--Periodicals."
Boston True Thomsonian,Boston,MA,8/15/1840,8/15/1843,English,"Medicine, Botanic--Periodicals."
Boston Tyro,Boston,MA,4/1/1845,9/1/1845,English,Literary periodicals.
Boston Washingtonian,Boston,MA,5/20/1843,10/7/1843,English,Temperance periodicals.Music periodicals.
Boston Weekly Magazine,Boston,MA,9/8/1838,9/11/1841,English,Literary periodicals.
Boston Weekly Magazine,Boston,MA,7/27/1850,7/27/1850,English,Literary periodicals.
Botanic Advertiser,Providence,RI,1/1/1838,12/1/1839,English,"Medicine, Botanic--Periodicals."
Botanico-Medical Investigator and Journal of Health,Springfield,MA,5/1/1843,6/15/1843,English,"Medicine, Botanic--Periodicals."
Botanico-Medical Recorder,Columbus,OH,1/13/1838,12/15/1848,English,"Medicine, Botanic--Periodicals."
"Bouquet, The",Norton,MA,7/1/1848,7/1/1848,English,Women's periodicals.College student periodicals.
Bowdoin Portfolio,Brunswick,ME,4/1/1839,12/1/1839,English,College student periodicals.
Boys' and Girls' Annual,Boston,MA,5/1/1843,7/1/1843,English,Children's periodicals.Juvenile literature--Periodicals.R
Boys' and Girls' Bouquet,Philadelphia,PA,1/1/1845,12/1/1845,English,Children's periodicals.Juvenile literature--Periodicals.
"Boys' and Girls' Library, The",Philadelphia,PA,1/1/1844,1/1/1844,English,Children's periodicals.Juvenile literature--Periodicals.
Boys' and Girls' Magazine,Boston,MA,1/1/1843,12/1/1848,English,Women in the printing and publishing trades.
"Boy's and Girls' Magazine, The",Boston,MA,1/1/1848,12/2/1848,English,Children's periodicals.Juvenile literature--Periodicals.
Boys' and Girls' Monthly Library,Boston,MA,1/1/1844,5/1/1844,English,Women in the printing and publishing trades.
Boys' and Girls' Penny Journal,Philadelphia,PA,1/1/1848,12/22/1849,English,Children's periodicals.Juvenile literature--Periodicals.
Boys' and Girls' Weekly Catholic Magazine,Philadelphia,PA,6/5/1847,5/27/1848,English,Children's periodicals.Religious periodicals.Juvenile literature--Periodicals.
British North American Wesleyan Methodist Magazine,St. John,New Brunswick,6/1/1845,5/1/1846,English,Methodist Church--New Brunswick--Periodicals.
"Broadway Journal, The",New York,NY,1/4/1845,1/3/1846,English,Literary periodicals.
"Brobdignag, The",Harrisburg,PA,1/17/1842,1/19/1842,English,Bazaars (Charities)--Pennsylvania--Harrisburg--Periodicals.Women in the printing and publishing trades.
Brother Jonathan,New York,NY,1/1/1842,12/23/1843,English,Story periodicals.Literary periodicals.Comic books--1842.
Brother Jonathan,New York,NY,7/4/1849,6/12/1852,English,Story papers (Periodicals)
Brother Jonathan Monthly Library,New York,NY,4/1/1843,10/1/1843,English,Literary periodicals.
Brown's Literary Omnibus,Philadelphia,PA,1/5/1838,7/20/1838,English,Literary periodicals.
Brownson's Quarterly Review,Boston,MA,1/1/1844,10/1/1852,English,Democratic.
Buchanan's Journal of Man,Cincinnati,OH,1/1/1849,6/1/1852,English,Phrenology--Periodicals.Sarcognomy--Periodicals.
Buffalo Medical Journal and Monthly Review of Medical and Surgical Science,Philadelphia,PA,2/1/1850,10/1/1851,English,Medical periodicals.
"Buffalo Medical Journal, The",Buffalo,NY,6/1/1845,5/1/1846,English,Medicine--Periodicals.
Buffalo Philanthropist,Philadelphia,PA,6/1/1839,6/1/1839,English,Religious periodicals.
Bulletin Bibliographique De Little et Brown Libraires A Boston: Liste Des Ouvrages Nouveaux PubliÇs En France: Ce Bulletin Sera EnvoyÇ Gratutitement Une Fois Par Mois Aux Correspondants et Aux Personnes Qui En Feront La Demande,St. Cloud,France,2/1/1847,12/1/1847,French,Literary periodicals.
Bulletin of Medical Science,Philadelphia,PA,4/1/1844,4/1/1844,English,Medical periodicals
Bulletin of the American Art Union,New York,NY,4/1/1851,12/1/1851,English,Art--Periodicals.
Bulletin of the New England Art Union,Boston,MA,1/1/1852,1/1/1852,English,"Art--Societies, etc."
Bull's Family Journal,Louisville,KY,1/1/1849,1/1/1849,English,Advertising periodicalsMedical periodicals.
Burtons' Gentleman's Magazine and American Monthly Review,Philadelphia,PA,7/1/1839,6/1/1840,English,Literary periodicals.
Cadet of Temperance,Philadelphia,PA,2/1/1852,2/1/1852,English,Temperance periodicals.
"Cadet, The",Drennon Springs,KY,4/1/1852,4/1/1852,English,College student periodicalsMilitary periodicals.
Calathumpian Advocate,Concord,NH,6/19/1850,6/19/1850,English,Political periodicals.
"Calendar, The",Hartford,CT,1/4/1845,12/25/1852,English,Literary periodicals.
"Calvinistic Family Library, The",Cadiz,OH,1/1/1844,6/1/1844,English,Calvinism--Periodicals.
Cambridge Magnolia,Cambridge,MA,12/2/1841,7/21/1842,English,Literary periodicals
"Campbell?s Foreign Monthly Magazine, Or, Select Miscellany of the Periodical Literature of Great BritainCampbell?s foreign monthly magazine, or, Select Miscellany of the Periodical literature of Great Britain",Philadelphia,PA,9/1/1842,8/1/1843,English,Literary periodicals.
Campbell's Foreign Semi-Monthly Magazine,Philadelphia,PA,12/1/1842,8/16/1844,English,Literary periodicals.
"Canada Evangelist, The",Amherstburg,Ontario,11/1/1852,11/1/1852,English,Evangelistic work--Canada--Periodicals.Theology--Periodicals.
"Canada Temperance Advocate, The",Montreal,Quebec,5/1/1841,10/15/1851,English,Temperance--Canada--Periodicals.
"Canadian Gem and Family Visitor, The",Toronto,Ontario,1/1/1848,12/1/1849,English,Religious periodicals.Literary periodicals.
"Cape of Good Hope Christian Magazine, The",Cape Town,South Africa,5/1/1845,12/1/1845,English,Missions--South Africa--Periodicals.
"Caricaturist, The",Geneva,NY,7/3/1846,7/3/1846,English,Satire--Periodicals.
"Carolina Baptist, The",Greenville,SC,9/1/1845,2/20/1847,English,Baptists--South Carolina--Periodicals.
"Carpet Bag, The",Boston,MA,3/29/1851,12/25/1852,English,Literary periodicals.
"Carrier Dove, The",Westfield,MA,7/4/1842,7/5/1842,English,Fairs--Massachusetts--Westfield--Periodicals.Women in the printing and publishing trades.
Carrier Pigeon,Worcester,MA,1/1/1852,12/1/1852,English,Literary periodicals.
"Casket, and Philadelphia Monthly Magazine, The",Philadelphia,PA,1/1/1839,12/1/1839,English,Women's periodicals.
"Casket, Flowers of Literature, Wit & Sentiment",Philadelphia,PA,1/1/1838,12/1/1838,English,Literary periodicals.
"Casket, The",Cincinnati,OH,4/15/1846,10/7/1846,English,Literary periodicals.
"Casket, The",St. Louis,MO,2/1/1852,12/1/1852,English,Presbyterianism--Periodicals.
Cata ract,Paineville,OH,4/21/1849,4/21/1849,English,Temperance periodicals.
"Catalogue of Books Published in the United Kingdom During the Year 1843, A",London,England,1/1/1843,1/1/1844,English,Indexes.Bibliographies.
Cataract and Waterfall or Massachusetts Washingtonian,Worcester,MA,12/27/1843,3/6/1844,English,Temperance--Massachusetts--Periodicals.
"Catholic Cabinet and Chronicle of Religious Intelligence Containing Original and Selected Articles, The",St. Louis,MO,5/1/1843,4/1/1844,English,Religious periodicals.
"Cedar Hill Repository, The",Philadelphia,PA,4/1/1840,4/1/1840,English,Student periodicals.Women's periodicals.
"Central New York Farmer, The",Rome,NY,1/1/1842,12/1/1844,English,Agriculture--United States--Periodicals.
"Ceylon Temperance Journal, The",Philadelphia,PA,9/1/1852,9/1/1852,English,Temperance periodicals.
Chambers's Edinburgh Journal,London,England,7/6/1844,12/28/1844,English,Literary periodicals.
"Champion of Mental Freedom and Herald of Reason, Beneficence, Scientific Religion, Philosophy, Truth, Justice, Economy, Humanity, Peace, Industry, Health, Competence, Universal Improvement, and Human Happiness, The",Auburn,NY,6/1/1840,6/1/1840,English,Rationalism--Periodicals.
"Champion of Reform, The",Philadelphia,PA,3/2/1850,3/2/1850,English,Political periodicals.
"Chandelier, The",Great Falls,NH,12/17/1850,12/17/1850,English,Comic periodicals.Story periodicals.
"Charleston Gospel Messenger and Protestant Episcopal Register, The",Charleston,SC,4/1/1844,4/1/1844,English,Religious periodicals.
"Charleston Medical Journal and Review, The",Charleston,SC,3/1/1848,11/1/1851,English,Medicine--Periodicals.
Charlestown Herald,Charlestown,MA,9/11/1848,9/11/1848,English,Literary periodicals.
Cheeseman's Register,East Richfield,NY,10/1/1841,10/1/1841,English,Advertising--Patent medicines--Periodicals.Patent medicines--Periodicals.
"Cherokee Messenger, The",Breadtown,OK,8/1/1844,5/1/1846,Cherokee,Cherokee Indians--Periodicals.
Cheshire Farmer,Keene,NH,7/1/1838,6/1/1840,English,Agriculture--New England--Periodicals.
"Chess Palladium and Mathematical Sphinx, The",New York,NY,10/1/1846,10/1/1846,English,Chess--Periodicals.
Children's Advent Herald,Boston,MA,7/1/1846,11/1/1850,English,Adventists--Periodicals.
Children's Friend,Rochester,NY,4/1/1851,4/1/1851,English,Adventists--Periodicals.
Children's Magazine,New York,NY,1/1/1838,12/1/1852,English,Sunday school literature--Periodicals.
"Child's Companion and Youth's Friend, The",Philadelphia,PA,1/1/1846,12/1/1851,English,Children's periodicals.Religious periodicals.Juvenile literature--Periodicals.
"Child's Friend and Youth's Magazine, The",Philadelphia,PA,1/1/1850,12/2/1852,English,Children's periodicals.Juvenile literature--Periodicals.Religious periodicals.
"Child's Friend: Designed for Families and Sunday Schools, The",Philadelphia,PA,10/1/1843,12/1/1850,English,Children's periodicals.Juvenile literature--Periodicals.Religious periodicals.
"Child's Gospel Guide, The",Boston,MA,5/12/1849,5/12/1849,English,Religious periodicals.Children's periodicals.Juvenile literature--Periodicals.
"Child's Magazine, The",New York,NY,7/1/1839,7/1/1839,English,Religious periodicals.Children's periodicals.Juvenile literature--Periodicals.
Child's Paper,New York,NY,1/1/1852,12/1/1852,English,Sunday school literature--Periodicals.
"Chinese Repository, The",Canton,China,1/1/1842,12/1/1846,English,China --Study and teaching --Periodicals.
"Choice Selections From Ancient Magazines: Containing History, Biography, Essays, Romances, Tales, Poetry, Anecdotes, Etc: Illustrated With Engravings",Boston,MA,1/1/1841,9/1/1841,English,Literary periodicals.
"Choral Advocate and Singing Class Journal, The",New York,NY,6/1/1850,12/1/1851,English,Music--Periodicals.
Christian Advocate and Journal,New York,NY,1/5/1838,12/30/1852,English,Religious periodicals.
Christian Ambassador,New York,NY,1/24/1852,12/25/1852,English,Universalism--Periodicals.
"Christian Ambassador, The",New York,NY,11/13/1847,5/4/1850,English,Universalism--Periodicals.
Christian Contributor and Free Missionary,Boston,MA,1/7/1846,8/18/1847,English,Baptists--Periodicals.
"Christian Diadem and Family Keepsake: A Repository of Religious and Literary Gems, The",New York,NY,1/1/1852,12/1/1852,English,Religious periodicals.
"Christian Diadem and Family Keepsake: A Repository of Religious and Literary Gems, The",New York,NY,1/1/1851,1/1/1851,English,Religious periodicals.
"Christian Diadem and Family Keepsake: A Repository of Religious and Literary Gems, The",New York,NY,1/1/1852,1/1/1852,English,Religious periodicals.
Christian Doctrinal Advocate and Spiritual Monitor,Lansingburgh,NY,1/1/1838,2/1/1842,English,Religious periodicals.
"Christian Examiner and General Review, The",Boston,MA,1/1/1838,1/1/1844,English,Religious periodicals.
"Christian Examiner and Religious Miscellany, The",Boston,MA,1/1/1844,11/1/1852,English,Theology--Periodicals.Unitarianism--Periodicals.
"Christian Examiner, The",Boston,MA,1/1/1838,1/1/1844,English,Theology--Periodicals.
"Christian Family Annual, The",New York,NY,1/1/1843,8/1/1845,English,Religious periodicals.
"Christian Family Magazine or Parents' and Children's Annual, The",New York,NY,9/1/1841,10/1/1844,English,Religious periodicals.
"Christian Family Magazine or Parents' and Children's Annual, The",New York,NY,1/1/1842,7/1/1843,English,Religious periodicals.
"Christian Family Magazine or Parent's and Children's Annual, The",New York,NY,1/1/1842,7/1/1842,English,Religious periodicals.
"Christian Index, The",Washington,GA,6/3/1852,7/8/1852,English,Baptistseorgia--Periodicals.
Christian Inquirer,New York,NY,10/17/1846,12/25/1852,English,Unitarian Universalist churches--Periodicals.Unitarianism--Periodicals.
Christian Investigator,Whitesboro,NY,9/1/1842,9/1/1842,English,Religious periodicals.
Christian Investigator,Boston,MA,6/1/1842,6/1/1842,English,Religious periodicals.
"Christian Lady's Magazine, The",New York,NY,8/1/1843,8/1/1843,English,Women in the printing and publishing trades.
Christian Messenger,Indianapolis,IN,5/26/1847,5/26/1847,English,Religious periodicals
"Christian Messenger and Repository of Religious, Political, and General Intelligence for Nova Scotia and New Brunswick",Halifax,NS,1/12/1838,5/2/1851,English,Religious periodicals.
"Christian Messenger, The",Georgetown,KY,5/1/1843,4/1/1845,English,Religious periodicals.
"Christian Monitor, The",Boston,MA,1/1/1838,8/24/1839,English,Religious periodicals.Subscribers' lists.
"Christian Observatory: A Religious and Literary Magazine, The",Boston,MA,1/1/1847,4/1/1850,English,Congregational churches--Periodicals.
"Christian Observer, The",New York,NY,1/1/1843,12/2/1843,English,Religious periodicals.
Christian Palladium,West Mendon,NY,1/1/1838,4/21/1849,English,Religious periodicals.
"Christian Parlor Book: Devoted to Literature Morals and Religion: Volume V, The",New York,NY,1/1/1849,1/1/1849,English,Christian life--Periodicals.
"Christian Parlor Book: Devoted to Science, Literature, and Religion, The",New York,NY,1/1/1851,12/1/1851,English,Christian life--Periodicals.
"Christian Parlor Book: Devoted to Science, Literature, and Religion, The",New York,NY,1/1/1850,1/1/1850,English,Christian life--Periodicals.
"Christian Parlor Book: Devoted to Science, Literature, and Religion, The",New York,NY,1/1/1852,8/1/1852,English,Christian life--Periodicals.
"Christian Parlor Book: Devoted to Science, Literature, and Religion, The",New York,NY,1/1/1852,1/1/1852,English,Christian life--Periodicals.
"Christian Parlor Magazine, The",New York,NY,5/1/1844,4/1/1845,English,Christian life--Periodicals.Religion--Periodicals.
"Christian Parlor Magazine, The",New York,NY,5/1/1846,4/1/1847,English,Christian life--Periodicals.Religion--Periodicals.
"Christian Parlor Magazine, The",New York,NY,5/1/1844,12/1/1852,English,Christian life--Periodicals.Religion--Periodicals.
"Christian Record, The",Bloomington,IN,7/1/1845,6/1/1846,English,Religious periodicals.
"Christian Repository, The",Meadville,PA,8/1/1852,8/1/1852,English,Unitarian churches--Periodicals.
"Christian Review, The",Boston,MA,3/1/1838,10/1/1852,English,Baptists--Periodicals.Theology--Periodicals.
"Christian Review, The",Franklin College,TN,8/1/1847,8/1/1847,English,College student periodicals.Religious periodicals.
"Christian Sentinel, The",Hartford,CT,4/1/1845,3/1/1846,English,Religious periodicals.
"Christian Souvenir, The",Philadelphia,PA,4/2/1846,3/2/1847,English,Religious periodicals.
Christian Sunday School Journal,Cincinnati,OH,1/1/1852,5/1/1852,English,Sunday school literature.
"Christian Teacher, The",Salem,MA,1/1/1842,1/1/1842,English,Religious periodicals.
"Christian Teacher, The",Lexington,KY,3/1/1847,4/1/1847,English,Religious periodicals.
"Christian Truth Seeker and Miscellany, The",Philadelphia,PA,4/1/1851,7/1/1851,English,Adventists--Periodicals.
"Christian Union and Religious Memorial, The",New York,NY,9/1/1848,7/1/1850,English,Religious periodicals.
"Christian Volunteer, The",Philadelphia,PA,1/1/1847,1/1/1847,English,Religious periodicals. Political periodicals.
Christian Warrior,Richmond,VA,12/28/1844,12/28/1844,English,Religious periodicals.
"Christian World, The",Boston,MA,1/14/1843,12/30/1848,English,Religious periodicals.
"Christian World: A Monthly Publication, The",Philadelphia,PA,9/1/1842,9/1/1842,English,Religious periodicals.
"Christian Wreath, The",Philadelphia,PA,1/2/1847,12/2/1847,English,Literature--Periodicals.Poetry--Periodicals.
Chritsian Telegraph,Atlanta,GA,6/16/1852,6/16/1852,English,Methodists--Georgia--Periodicals.
Chronicle of the Church,New Haven,CT,1/5/1838,12/28/1838,English,Religious periodicals.
Chronicle of Western Literature,Louisville,KY,1/27/1849,2/10/1849,English,Literary periodicals
"Church Advocate, The",Harrisburg,PA,1/1/1850,12/25/1852,English,Religious periodicals.
Church Chronicle and Record,New Haven,CT,11/27/1841,12/27/1844,English,Religious periodicals.
